protein,pct_missing_overall,pct_unusable_overall,pct_missing_ADNI1,pct_unusable_ADNI1,pct_missing_ADNIGO,pct_unusable_ADNIGO,pct_missing_ADNI3,pct_unusable_ADNI3,worst_phase_unusable,over_D2_threshold,removed_by_D4_first,dropped_by_D2_filter
Presenilin 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Pro-interleukin-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Protein S100-A12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Sequestosome-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Secreted frizzled-related protein 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
SPARC-related modular calcium-binding protein 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
S100 calcium binding protein B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
TAR DNA-binding protein 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Triggering receptor expressed on myeloid cells 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Slit homolog 2 protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Superoxide dismutase [Cu-Zn],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Tumor necrosis factor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Triggering receptor expressed on myeloid cells 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Vascular cell adhesion protein 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
VGF nerve growth factor inducible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Vascular endothelial growth factor A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Vascular endothelial growth factor D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Vascular endothelial growth factor receptor 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Visinin-like protein 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
